,I0T,I0N,I0G,I0A,D0D,D0G,D0A,D0L,D0N,D0I,D0K,D0T,D0V,D0Q,D0S,D0R,D0Y,Y0L,Y0N,Y0D,Y0F,Y0G,Y0A,Y0T,Y0S,V0G,V0D,V0A,V0V,V0T,E0A,E0G,E0L,K0N,K0L,K0I,K0G,K0D,K0A,K0Y,K0V,K0T,K0S,F0D,F0A,F0N,L0Y,L0T,L0S,L0N,L0K,L0D,L0G,L0A,A0D,A0G,A0A,A0L,A0N,A0I,A0K,A0T,A0V,A0Q,A0S,A0Y,Q0T,Q0V,Q0S,V0N,Q0Y,Q0G,V0S,Q0A,Q0L,Q0N,Q0I,V0Y,Q0K,G0S,G0Q,G0V,G0T,G0Y,G0A,G0G,G0D,G0E,G0K,G0N,G0L,N0N,N0L,N0K,N0I,N0G,N0D,N0A,N0Y,N0V,N0T,N0S,N0Q,S0G,S0D,S0E,S0A,S0N,S0L,S0K,S0V,S0T,S0S,S0Y,T0T,T0V,T0Q,T0S,T0Y,T0E,T0D,T0G,T0A,T0L,T0N,T0K
CAA77898.1,1,8,9,6,6,10,2,11,6,8,9,10,8,6,11,4,6,5,10,13,9,7,10,6,6,18,8,13,8,15,7,9,5,8,5,6,13,6,12,12,19,6,6,9,6,4,3,8,10,8,7,8,5,10,10,14,12,8,9,5,8,15,10,2,12,7,3,8,2,10,4,7,9,2,9,2,9,9,11,7,16,11,18,6,8,4,5,8,11,7,11,5,6,10,1,10,10,8,6,7,4,11,9,8,8,8,9,5,3,13,6,7,8,13,15,10,2,8,6,8,15,12,14,8,13,9
AAC63063.1,4,8,4,5,11,6,13,9,8,6,17,10,10,8,8,6,4,11,8,12,10,10,9,6,4,18,9,16,8,13,2,5,6,6,9,5,19,6,6,12,13,6,6,9,6,7,4,5,5,8,10,5,8,9,15,13,13,7,11,2,11,19,4,8,10,6,5,14,8,7,4,8,8,2,5,8,6,7,7,6,19,11,8,9,18,9,14,1,4,6,11,7,5,10,3,7,8,7,8,10,4,9,6,8,14,2,10,2,7,8,9,8,9,5,14,5,11,9,7,10,10,8,18,4,7,9
AAA26896.1,2,6,9,10,5,3,6,7,9,8,9,8,6,7,16,7,5,6,9,11,8,11,5,6,8,10,4,15,5,15,6,6,5,7,1,10,18,6,12,8,10,8,6,2,9,2,5,7,4,11,5,5,4,9,13,14,13,8,5,6,7,10,12,3,10,7,5,3,2,13,4,4,4,2,5,4,8,5,9,8,9,9,14,9,8,7,9,6,8,6,9,4,4,15,8,3,18,2,6,9,7,4,7,11,5,7,8,6,4,7,9,10,4,11,12,7,3,12,4,12,11,11,15,3,9,11
AAA26898.1,4,6,8,2,10,9,6,6,13,1,8,4,12,13,5,7,9,5,12,12,7,6,6,4,3,8,4,9,5,6,2,3,5,2,8,6,16,3,8,7,7,4,1,6,10,3,3,8,10,14,8,8,7,5,14,13,10,5,9,4,5,6,2,10,14,7,3,12,9,12,4,10,6,6,5,8,4,6,8,4,11,5,15,4,16,4,4,3,10,3,15,9,8,5,3,6,16,12,8,7,9,9,11,10,7,4,8,9,5,5,6,1,8,3,10,5,5,3,7,2,11,4,8,8,9,5
BAA14241.1,3,8,5,7,12,6,12,10,10,7,17,9,13,7,9,8,4,8,9,12,10,9,9,6,2,21,5,15,7,10,2,8,5,5,6,4,17,7,5,13,15,6,7,9,5,7,3,7,5,8,9,6,7,8,18,13,12,5,10,4,10,18,3,8,12,6,4,12,8,7,3,7,11,4,4,7,7,7,8,7,20,9,9,7,18,7,16,0,3,5,11,8,5,8,2,10,8,10,6,8,10,5,9,6,12,3,14,3,7,10,9,8,6,6,14,6,7,10,4,9,11,9,14,5,9,7
BAA02976.1,4,8,5,7,12,6,11,10,10,7,17,9,14,7,9,8,4,8,9,12,10,9,8,6,3,21,5,15,7,10,4,9,5,5,7,5,16,7,5,13,15,6,7,9,5,7,3,7,6,8,10,6,7,8,18,12,12,6,11,4,10,18,4,7,12,6,4,12,7,7,4,7,10,4,5,7,7,7,8,7,20,9,9,7,18,7,16,0,3,5,11,7,5,8,2,10,8,12,6,7,9,5,9,7,12,3,13,3,7,9,9,8,6,6,14,4,7,10,4,9,11,9,14,5,9,8
AAC41412.1,4,11,11,2,4,7,9,4,18,2,9,12,12,4,9,5,7,6,11,13,6,7,7,4,4,13,4,12,9,11,4,5,6,4,4,8,7,2,7,5,3,5,4,5,5,6,6,6,7,8,3,7,4,8,10,9,5,9,9,4,7,10,6,6,8,8,5,4,4,7,4,8,5,4,4,2,6,10,4,9,12,10,10,4,9,9,6,7,3,13,11,17,6,9,5,18,16,9,6,13,12,7,8,8,6,6,6,9,6,3,4,4,5,9,16,9,3,4,2,5,16,10,10,3,16,6
AAC41413.1,4,12,11,9,5,5,6,9,5,6,11,5,7,6,7,6,2,6,7,14,10,8,9,5,6,15,4,15,5,8,7,5,4,6,5,4,9,2,6,9,7,10,3,10,3,6,4,10,5,11,7,6,7,12,11,8,12,11,10,5,4,12,5,10,13,8,6,8,15,8,9,9,5,8,3,11,7,9,9,7,19,4,10,7,10,8,6,7,6,7,14,6,9,10,6,6,10,11,8,6,12,4,4,11,6,9,2,6,4,5,11,7,5,8,12,5,9,13,3,7,6,4,8,13,9,5
AAC43483.1,7,8,4,6,9,5,7,10,13,7,19,7,7,7,8,6,5,3,6,20,10,10,4,7,5,13,5,13,4,7,11,6,7,8,8,11,15,3,9,6,15,12,10,5,6,3,6,9,7,8,5,11,4,11,14,11,6,7,9,6,10,10,6,10,10,6,7,8,5,8,7,13,5,6,6,7,4,9,12,6,15,9,6,5,11,5,6,6,11,6,10,10,6,6,4,9,9,5,9,8,4,2,9,4,6,13,5,9,5,9,6,7,3,7,9,4,4,10,2,5,13,7,9,8,8,11
AAB95453.1,5,10,10,5,7,12,4,11,8,14,9,14,6,10,11,5,6,7,9,13,8,5,7,9,3,8,11,10,5,4,2,3,4,2,5,2,11,5,7,9,4,9,3,9,6,9,5,11,5,13,10,9,6,6,12,8,6,6,13,4,7,13,2,6,6,5,6,7,4,14,6,9,7,7,6,5,14,10,10,3,15,8,10,4,11,6,4,4,6,3,13,14,9,5,3,7,10,9,8,9,10,8,11,8,7,2,6,8,5,5,5,15,0,8,12,12,14,12,8,0,17,7,7,4,11,4
AAC05156.1,4,11,12,2,4,7,8,4,18,2,9,12,12,4,9,5,7,6,11,13,6,7,7,4,4,13,3,12,9,11,4,5,6,4,4,8,7,2,7,5,3,5,5,5,5,6,6,6,7,8,3,7,4,8,10,8,5,9,9,4,7,10,6,6,8,8,5,4,3,7,4,8,6,4,4,2,6,10,4,9,12,10,10,4,9,9,6,7,3,13,11,16,6,9,5,18,16,9,6,13,13,7,8,8,6,6,6,10,6,3,4,4,5,9,16,9,3,4,2,5,16,11,10,3,16,6
BAA26114.1,7,7,8,10,9,9,5,6,8,6,8,7,7,3,6,8,4,9,11,7,8,5,3,7,6,12,8,13,6,6,4,5,5,5,5,8,6,5,7,7,8,8,3,6,4,6,5,7,9,10,8,5,3,13,13,11,3,9,10,6,9,8,4,5,15,7,5,5,7,10,4,6,5,6,3,6,4,7,9,8,10,7,4,6,11,4,3,3,4,6,11,9,9,7,8,8,9,10,10,12,9,5,6,10,6,1,11,12,6,6,12,7,7,4,18,6,6,11,3,5,9,5,8,5,10,8
AAD10952.1,5,11,12,9,12,13,5,10,18,7,8,10,11,6,15,4,8,9,5,17,13,4,7,9,5,10,9,10,5,5,6,9,7,3,4,3,10,3,8,7,4,4,5,9,3,7,9,11,7,12,9,11,2,7,15,12,10,8,9,6,7,14,4,9,5,8,6,7,7,10,7,8,10,10,4,7,10,7,9,8,18,5,7,6,12,7,6,4,4,5,12,5,7,6,5,5,11,11,9,9,14,6,8,5,13,5,5,8,9,5,8,11,3,10,14,10,11,13,6,9,18,4,7,5,7,4
BAA77236.1,6,7,8,4,5,7,7,7,14,5,6,2,7,11,6,5,8,6,8,12,8,6,5,4,4,9,4,9,6,6,4,2,7,4,8,6,15,2,8,8,4,3,1,6,8,5,2,7,9,13,8,7,7,5,15,15,13,7,7,6,4,10,2,7,8,9,1,8,7,8,6,8,6,7,4,4,5,4,9,2,10,5,18,4,12,9,5,4,8,7,11,9,3,8,4,12,11,8,8,9,7,7,12,3,5,5,7,12,3,3,5,2,3,2,7,5,6,5,9,3,9,7,6,7,4,5
